,start,finish,hop_len,no_of_hops,avg_hop_loss,transponder_modulation,transponder_bitrate,P0,Gamma,N,NF,BR,OSNR
0,Vancouver,Charlotte,7335.583348170257,94.0,15.586601801253504,8QAM,100,17.72043865734399,15.586601801253504,94.0,5,12500,16.366049800486536
1,Vancouver,KansasCity,3468.808276635722,46.0,15.447120075353903,32QAM,200,11.171812797967283,15.447120075353903,46.0,5,12500,17.103439524818498
2,Vancouver,Toronto,4867.494837519788,64.0,19.117317318940202,16QAM,100,17.067930023437345,19.117317318940202,64.0,5,12500,16.026942637996513
3,Vancouver,Sacrameto,4773.649459430821,62.0,16.663998763228427,32QAM,200,12.59550873932345,16.663998763228427,62.0,5,12500,14.325326892740193
4,Vancouver,Sacrameto,2574.2754528194137,34.0,16.421329565482196,32QAM,100,10.22438488102967,16.421329565482196,34.0,5,12500,18.204610836481905
5,Vancouver,SaltLakeCity,1513.0547526857213,20.0,16.715276538744742,32QAM,400,14.966926106113322,16.715276538744742,20.0,5,12500,27.959487598924753
6,Vancouver,Seattle,2845.687530127582,37.0,18.01208551055577,8QAM,400,14.519843682373633,18.01208551055577,37.0,5,12500,20.063739812471667
7,Vancouver,Seattle,138.6671811785203,1.0,16.543550746718147,8QAM,400,15.560807211362654,16.543550746718147,1.0,5,12500,58.68241723174057
8,Vancouver,OklahomaCity,3277.399904973766,41.0,17.07133566399529,32QAM,400,19.552473409405053,17.07133566399529,41.0,5,12500,25.010577845462763
9,Vancouver,Detroit,9416.987980939142,115.0,17.83773201248937,32QAM,200,18.536870544526295,17.83773201248937,115.0,5,12500,12.914978015500495
10,Vancouver,Winnipeg,2890.3070401284776,40.0,17.70480676615056,32QAM,100,17.214658707260504,17.70480676615056,40.0,5,12500,22.286218167066636
11,Vancouver,Portland,2724.596398653708,36.0,16.613736277851476,QPSK,400,15.431268303518753,16.613736277851476,36.0,5,12500,22.647503408202255
12,Vancouver,SanDiego,5000.746209556219,64.0,16.312900069675216,32QAM,400,18.732738980458134,16.312900069675216,64.0,5,12500,20.496168844282266
13,Vancouver,Seattle,138.6671811785203,1.0,18.007003294744354,32QAM,200,13.321951384233827,18.007003294744354,1.0,5,12500,54.98010885658556
14,Vancouver,Seattle,138.6671811785203,1.0,16.755251892921677,QPSK,200,13.468714036831571,16.755251892921677,1.0,5,12500,56.37862291100595
15,Vancouver,SanFrancisco,2753.514717248579,35.0,17.093604302459674,8QAM,200,19.623114419506884,17.093604302459674,35.0,5,12500,26.641190269249137
16,Vancouver,Cincinnati,7032.054406962772,85.0,14.782688972517159,32QAM,100,11.339843350986492,14.782688972517159,85.0,5,12500,11.79580258066224
17,Vancouver,Minneapolis,3313.250213511017,45.0,15.339464946120865,8QAM,100,12.071821318956731,15.339464946120865,45.0,5,12500,18.330892242228728
18,Vancouver,Toronto,6763.8407786636135,84.0,17.94952819314287,8QAM,400,18.738875450465176,17.94952819314287,84.0,5,12500,16.146340035985247
19,Vancouver,SaltLakeCity,1471.299958620381,19.0,17.497983010752883,8QAM,400,14.73413279788369,17.497983010752883,19.0,5,12500,27.456920762562476
20,Vancouver,Dallas,6712.2513851838785,88.0,18.083515758493252,32QAM,100,15.780618032356754,18.083515758493252,88.0,5,12500,12.588894896177493
21,Vancouver,Calgary,1008.0540464378444,14.0,16.162461144403935,16QAM,400,17.493713981071327,16.162461144403935,14.0,5,12500,34.60584030761086
22,Vancouver,Portland,259.758312652394,2.0,16.33248702005404,32QAM,200,18.534057188772906,16.33248702005404,2.0,5,12500,54.93525913021551
